අං	a ŋ
පැවැසූහ	p æ w æ s uː h ə
සුරකිමු	s u r a k i m u
දොරකවුළු	d o r ə k a w u l u
සතරටම	s a t ə r ə ʈ ə m ə
සාගින්න	s aː g i n n ə
උපදනේත්	u p ə d ə n eː t
ඔතප්	o t a p
නූපදනේ	n uː p ə d a n eː
උචිතයි	u c i t a y i
ප්‍රොඩක්ට්	p r o ɖ ə k ʈ
සමරයි	s a m ə r a y i
උදාවෙන	u d aː w e n ə
පත්තුවී	p a t t u w iː
වැලක්ම	w æ l ə k m ə
සතුටේ	s a t u ʈ eː
තිස්දෙකයි	t i s d e k a y i
නොදැවී	n o d æ w iː
පනස්හතයි	p a n a s h a t a y i
බ්‍රැක්වෙල්	b r æ k w e l
මෝකල්	m oː k ə l
හැටහතරයි	h æ ʈ ə h a t ə r a y i
ටෙරස්වලට	ʈ e r ə s w ə l ə ʈ ə
රුක්මන්	r u k m ə n
ලක්‍ෂ්මන්	l a k ʃ m ə n
ඕෆෆ්	oː f ə f
පම්ප්	p a m p
බීටිං	b iː ʈ i ŋ
සර්ජරි	s ə r ɟ ə r i
හාර්ට්	h aː r ʈ
දොළොසෙන්	d o l o s e n
පටිච්චසමුප්පාදාඞ්ග	p a ʈ i c c ə s a m u p p aː d aː ŋ g ə
විපාකයෝ	w i p aː k ə y oː
ඇවිස්සෙයි	æ w i s s e y i
සිසුවෙකුට	s i s u w e k u ʈ ə
එළවනලද	e l a w ə n ə l a d ə
ප්‍රග්‍රහ	p r ə g r ə h ə
බිහිරෝ	b i h i r oː
ලැබූවෝ	l æ b uː w oː
දාසියක	d aː s i y ə k ə
වස්ත්රයක්	w a s t r ə y a k
ලැකියෙන්	l æ k i y e n
හෙළටුවා	h e l ə ʈ u w aː
ටැබ්ලට්ස්	ʈ æ b l ə ʈ s
ප්ල්ස්	p l s
පෙතිවල	p e t i w ə l ə
ස්ලීපිං	s l iː p i ŋ
ඉවතලිය	i w a t ə l i y ə
ප්‍රතිරූපයට	p r a t i r uː p ə y ə ʈ ə
බමුණන්ගේ	b a m u n a n g eː
මදිවාට	m a d i w aː ʈ ə
වියරුව	w i y a r u w ə
හාස්‍යජනක	h aː s y ə ɟ a n ə k ə
අනාත්මානුදර්ශනයෙන්	a n aː t m aː n u d a r ʃ ə n ə y e n
අනිත්‍යතා	a n i t y ə t aː
කාළයක්	k aː l ə y a k
ගැටුමකින්	g æ ʈ u m ə k i n
නොවැටුණත්	n o w æ ʈ u n a t
නොවූවෝ	n o w uː w oː
පරිහාණිය	p a r i h aː n i y ə
පියාණෝ	p i y aː n oː
මුරුගසන්	m u r u g ə s ə n
වැටීමකදී	w æ ʈ iː m ə k ə d iː
සංයමයට	s a ŋ y ə m ə y ə ʈ ə
සමාජයන්	s a m aː ɟ ə y a n
අක්බර්	a k b ə r
වේදනායෙන්	w eː d ə n aː y e n
සංඥායෙන්	s a ŋ ɲ aː y e n
සංස්කාරයන්ගෙන්	s a ŋ s k aː r ə y a n g e n
අමිර්	a m i r
කාසිම්	k aː s i m
නජීබ්	n a ɟ iː b
බදුර්දීන්	b a d u r d iː n
මජීඩ්	m a ɟ iː ɖ
කෙනකුටම	k e n ə k u ʈ ə m ə
දැහැත්	d æ h æ t
තිරුක්කුරළ්	t i r u k k u r ə l
පොත්ය	p o t y ə
උලහප්පොදුමරෛ	u l ə h a p p o d u m ə r a i
ජනශ්රුතිය	ɟ a n a ʃ r u t i y ə
අසාර්ථකත්වයෙන්	a s aː r t ə k a t w ə y e n
පිළිවෙතේ	p i l i w e t eː
ලැබෙන්නේත්	l æ b e n n eː t
ත්‍රිත්වය	t r i t w ə y ə
ප්‍රමුඛතා	p r a m u k ə t aː
පෙනෙති	p e n e t i
විජේරූපගේ	w i ɟ eː r uː p ə g eː
විජේසෝම	w i ɟ eː s oː m ə
විස්සවැනි	w i s s ə w æ n i
තුෂාරගේ	t u ʃ aː r ə g eː
ඩෙරීඩා	ɖ e r iː ɖ aː
බොද්‍රිලෙයා	b o d r i l e y aː
ලියෝතා	l i y oː t aː
ශෝං	ʃ oː ŋ
ෆුකෝ	f u k oː
ෆොන්ශුවා	f o n ʃ u w aː
ඉවතලන	i w ə t ə l ə n ə
කෝම්බ	k oː m b ə
පොල්කටු	p o l k a ʈ u
රෙජිෆෝම්	r e ɟ i f oː m
ජනහමුවකදීය	ɟ a n a h a m u w ə k ə d iː y ə
පැවැසූවේ	p æ w æ s uː w eː
ඵලවන	p a l ə w ə n ə
කවිතිලක	k a w i t i l ə k ə
කොල්ලකන්න	k o l l ə k a n n ə
ගැටළුවලින්	g æ ʈ ə l u w ə l i n
රග	r a g ə
සිව්දෙස	s i w d e s ə
හමුදාවලට	h a m u d aː w ə l ə ʈ ə
මුවම්මර්	m u w a m m ə r
ප්‍රීතිමත්	p r iː t i m a t
ලෙෂර්	l e ʃ ə r
වර්ල්ඩ්හිදී	w ə r l ɖ h i d iː
නගරවාසීහු	n a g ə r ə w aː s iː h u
ඉරණමට	i r ə n ə m ə ʈ ə
දේශපාලනයයි	d eː ʃ ə p aː l ə n ə y ə y i
ඇතිවීමයි	æ t i w iː m a y i
ඉලෙක්ට්‍රෝඩය	i l e k ʈ r oː ɖ ə y ə
ප්ලග්	p l a g
පුළිඟුව	p u l i ᵑg u w ə
මිස්ෆයරින්	m i s f a y ə r i n
යොදුවොත්	y o d u w o t
ස්පාර්ක්	s p aː r k
ගවේෂණයේදී	g a w eː ʃ ə n ə y eː d iː
ජනශ්‍රැතිය	ɟ a n ə ʃ r æ t i y ə
ඵෙතිහාසික	p e t i h aː s i k ə
බෙලිගල්	b e l i g ə l
ගවේෂණාත්මක	g a w eː ʃ ə n aː t m ə k ə
වාඩියේ	w aː ɖ i y eː
ශිර්ෂ	ʃ i r ʃ ə
හම්බේගමුවේ	h a m b eː g a m u w eː
ගොයුමාණනි	g o y u m aː n ə n i
පසෙකැ	p a s e k æ
චක්‍ෂුර්විඥානයට	c a k ʃ u r w i ɲ ɲ aː n ə y ə ʈ ə
වස්‍තු	w a s t u
යැපුම්	y æ p u m
රැකියාවන්හි	r æ k i y aː w a n h i
උලෙළෙහි	u l e l e h i
දෙකකටම	d e k ə k ə ʈ ə m ə
ඉල්ලති	i l l ə t i
ගම්දොර	g a m d o r ə
අස්පොර	a s p o r ə
ඇත්පොර	æ t p o r ə
එළුපොර	e l u p o r ə
කුකුළුපොර	k u k u l u p o r ə
ගොන්පොර	g o n p o r ə
පොලුහරඹ	p o l u h a r ə ᵐb ə
බැටෙළුපොර	b æ ʈ e l u p o r ə
මල්ලපොර	m a l l ə p o r ə
මිටුයුද	m i ʈ u y u d ə
මියුපොර	m i y u p o r ə
වටුපොර	w a ʈ u p o r ə
පවරත්	p a w ə r a t
දොඩමළු	d o ɖ ə m a l u
ප්‍රශ්නයන්ට	p r a ʃ n ə y a n ʈ ə
පොරකමින්	p o r ə k a m i n
වෙඩිතිබ්බා	w e ɖ i t i b b aː
සැලවිය	s æ l ə w i y ə
අමිශ්‍ර	a m i ʃ r ə
ක්ලෙශයන්	k l e ʃ ə y a n
ඇප්ලයිඩ්	æ p l a y i ɖ
කම්පල්සරි	k a m p a l s ə r i
මැත්ස්	m æ t s
මිණිරුවන	m i n i r u w ə n ə
රජුන්ගෙන්	r a ɟ u n g e n
ලෝං	l oː ŋ
ස්ලීව්	s l iː w
ධ්‍යානයෙහි	d y aː n ə y e h i
ධ්‍යානාඞ්ගයන්	d y aː n aː ŋ g ə y a n
නැගිටීමෙන්	n æ g i ʈ iː m e n
සමවැදුණු	s a m ə w æ d u n u
සමාපත්තියෙන්	s a m aː p a t t i y e n
වටලන්න	w a ʈ a l a n n ə
ගිරාඳුරුකෝට්ට	g i r aː ⁿd u r u k oː ʈ ʈ ə
වේතාල	w eː t aː l ə
මගෙක	m a g e k ə
වෙළෙන්ඳා	w e l e n ⁿd aː
තොග	t o g ə
ඇහපිය	æ h a p i y ə
බමුණාට	b a m u n aː ʈ ə
සැඟවුනේය	s æ ᵑg ə w u n eː y ə
ධූර්තියා	d uː r t i y aː
බඩගින්නට	b a ɖ ə g i n n ə ʈ ə
අත්හළෝ	a t h a l oː
මිදුණාහු	m i d u n aː h u
අඹතෙස්ස	a ᵐb ə t e s s ə
ඇගේට්	æ g eː ʈ
කානීලියන්	k aː n iː l i y a n
මාණික්‍යවලින්	m aː n i k y ə w ə l i n
තෙරණින්	t e r ə n i n
පඤ්චදීපිකා	p a ɲ c ə d iː p i k aː
රැයක	r æ y ə k ə
සසුනක	s a s u n ə k ə
ලාංකීකයින්	l aː ŋ k iː k ə y i n
වූහාන්	w uː h aː n
අනුල්ලපනාධිප්‍රාය	a n u l l ə p a n aː d i p r aː y ə
ඇතිවනුයේ	æ t i w ə n u y eː
වධක	w a d ə k ə
ආචාරශීලගුණ	aː c aː r ə ʃ iː l ə g u n ə
දැයෙක	d æ y e k ə
තිස්දහසට	t i s d a h a s ə ʈ ə
හැටදහසක්	h æ ʈ ə d a h a s a k
ඇදහැලෙමින්	æ d a h æ l e m i n
පොල්ගස්ඕවිට	p o l g a s oː w i ʈ ə
දික්හේන	d i k h eː n ə
වට්ටෝරුවේ	w a ʈː oː r u w eː
ත්‍රෛයිභාෂික	t r a i y i b aː ʃ i k ə
ද්විභාෂික	d w i b aː ʃ i k ə
ක්‍රියාවකින්	k r i y aː w ə k i n
නේමිත්තිකතා	n eː m i t t i k a t aː
මිථ්යාජීවය	m i t y aː ɟ iː w ə y ə
අතහැරී	a t ə h æ r iː
කල්මරමින්	k a l m a r ə m i n
කෝල්බෲක්	k oː l b r uː k
තුනේදී	t u n eː d iː
දේවාශිර්වාදයක්	d eː w aː ʃ i r w aː d ə y a k
නිමාකොට	n i m aː k o ʈ ə
නියෑදියක්වත්	n i y æː d i y a k w a t
ප්‍රතිසංස්කරණවලින්	p r a t i s a ŋ s k ə r ə n ə w ə l i n
ප්‍රධානීන්	p r ə d aː n iː n
පෙන්වන්නා	p e n w a n n aː
බ්‍රොහියර්	b r o h i y ə r
මුදලිදු	m u d ə l i d u
සොයිසාගේ	s o y i s aː g eː
ආරක්ෂකයන්ට	aː r a k ʃ ə k ə y a n ʈ ə
අන්වර්	a n w ə r
ඇල්ජීරියාවේ	æ l ɟ iː r i y aː w eː
ජවහර්ලාල්	ɟ a w ə h a r l aː l
ටිටෝ	ʈ i ʈ oː
බූමීඩියන්	b uː m iː ɖ i y ə n
යුගෝස්ලාවියාවේ	y u g oː s l aː w i y aː w eː
සදාත්	s a d aː t
සමුළුවෙහි	s a m u l u w e h i
සෙදගැමිඵල	s e d ə g æ m i p a l ə
සවිකරන	s a w i k ə r ə n ə
සිසිලසගම	s i s i l ə s ə g ə m ə
සීතාරාමය	s iː t aː r aː m ə y ə
අවිකින්ග්	a w i k i n g
ඇල්බිරුනි	æ l b i r u n i
ඉමිසන්	i m i s ə n
ග්‍රිසියේ	g r i s i y eː
ට්වේන්	ʈ w eː n
ටැවනිර්	ʈ æ w ə n i r
පීටර	p iː ʈ ə r ə
බර්නිර්	b ə r n i r
මැගස්තීන්ස්	m æ g ə s t iː n s
මුන්සි	m u n s i
සෑන්ස්	s æː n s
හියුන්	h i y u n
අසංඥසත්වයනට	a s a ŋ ɲ ə s a t w ə y ə n ə ʈ ə
කොසඹෑ	k o s ə ᵐb æː
උගන්ඩාවේ	u g a n ɖ aː w eː
කාම්බෝජයේ	k aː m b oː ɟ ə y eː
චිලියේ	c i l i y eː
පොල්ෆෝට්	p o l f oː ʈ
ස්ටාලින්	s ʈ aː l i n
ෆිනෝචේ	f i n oː c eː
උන්ටමයි	u n ʈ ə m a y i
දුන්නොතින්	d u n n o t i n
පේද්‍රික්	p eː d r i k
මවුවරුන්ට	m a w u w ə r u n ʈ ə
විඥානයයෙන්	w i ɲ aː n ə y ə y e n
කාර්තුවේ	k aː r t u w eː
නගිනු	n a g i n u
මසු	m a s u
රූපිය	r uː p i y ə
ශික්ෂාපදයෙන්	ʃ i k ʃ aː p a d ə y e n
කොන්රඩ්	k o n r ə ɖ
පුරෝගාමීන්ය	p u r oː g aː m iː n y ə
සාහිත්යික	s aː h i t y i k ə
නික්මෙන්නට	n i k m e n n ə ʈ ə
නික්මෙන්නාක්	n i k m e n n aː k
පැහැදිණ	p æ h æ d i n ə
එළඹීමකි	e l a ᵐb iː m ə k i
ඩයර්	ɖ a y ə r
පර්යාලෝකන	p a r y aː l oː k ə n ə
මූලධර්මයේ	m uː l ə d a r m ə y eː
සිත්තරෙකු	s i t t a r e k u
ඇල්බ්‍රෙෂ්ට්	æ l b r e ʃ ʈ
කුසෙහි	k u s e h i
පිරිනිවියේය	p i r i n i w i y eː y ə
පුත්‍රයෙහි	p u t r ə y e h i
මහාතිස්ස	m a h aː t i s s ə
හටගත්තේය	h a ʈ ə g a t t eː y ə
පඤ්චකයට	p a ɲ c ə k ə y ə ʈ ə
මනෝවිඥානධාතු	m a n oː w i ɲ aː n ə d aː t u
පිරිසිඳී	p i r i s i ⁿd iː
යෝගීතෙමේ	y oː g iː t e m eː
දලුගම	d a l u g ə m ə
දීර්ඝයි	d iː r g a y i
රියැදුරුට	r i y æ d u r u ʈ ə
අනර්කලි	a n a r k ə l i
අනුෂා	a n u ʃ aː
ආකර්ශා	aː k a r ʃ aː
ක්ලීටස්	k l iː ʈ ə s
දිගහැරෙන	d i g ə h æ r e n ə
නිලන්ති	n i l a n t i
පබෝදා	p a b oː d aː
මංජුලා	m a ŋ ɟ u l aː
මාපා	m aː p aː
රවීන්ද්‍ර	r a w iː n d r ə
සංදීපනී	s a ŋ d iː p ə n iː
සුරාඡ්	s u r aː c
ශිෂ්යාදීන්	ʃ i ʃ y aː d iː n
සංඝයාහට	s a ŋ g ə y aː h a ʈ ə
ක්‍රියාකාරී	k r i y aː k aː r iː
ගමනායක	g a m ə n aː y ə k ə
ජෙෂ්ඨ	ɟ e ʃ ʈ ə
තුලසි	t u l ə s i
දේශබන්දු	d eː ʃ ə b a n d u
ප්‍රජාවද	p r a ɟ aː w ə d ə
රවීන්ද්‍රන්	r a w iː n d r ə n
සාමාන්‍යාධිකාරි	s aː m aː n y aː d i k aː r i
සාමාන්‍යාධිකාරිවරුන්	s aː m aː n y aː d i k aː r i w ə r u n
සාමාන්‍යාධිකාරී	s aː m aː n y aː d i k aː r iː
සාමාන්‍යාධිකාරීවරුන්	s aː m aː n y aː d i k aː r iː w ə r u n
හෙන්නායක	h e n n aː y ə k ə
ආදීනට	aː d iː n ə ʈ ə
කණවා	k a n ə w aː
රුකින්	r u k i n
වේලායෙහි	w eː l aː y e h i
වදුරන්	w a d u r a n
හීදී	h iː d iː
කච්චේරියක්	k a c c eː r i y a k
අමානා	a m aː n aː
නැ‍ඟෙනහිර	n æ ᵑg e n ə h i r ə
වනඅතර	w a n ə a t ə r ə
වන්නහු	w a n n a h u
විශේෂඥයින්ගේ	w i ʃ eː ʃ a ɲ y i n g eː
අහවලාගේ	a h a w ə l aː g eː
උන්දැට	u n d æ ʈ ə
ගමටම	g a m ə ʈ ə m ə
නෙළලා	n e l ə l aː
පනීවිද	p a n iː w i d ə
පරාණ	p a r aː n ə
පොල්කට්ටට	p o l k a ʈ ʈ ə ʈ ə
බලබලා	b a l ə b a l aː
බේබද්දෙක්	b eː b a d d e k
බෝතලෙන්	b oː t ə l e n
වැනී	w æ n iː
වියන්ගොඩ	w i y a n g o ɖ ə
හිතවාදින්	h i t ə w aː d i n
උපායාසයන්	u p aː y aː s ə y a n
කල්හිය	k a l h i y ə
පඤ්චස්කන්ධයක්	p a ɲ c a s k a n d ə y a k
මිදිමට	m i d i m ə ʈ ə
පච්චපෙරුමාල්	p a c c ə p e r u m aː l
හීනැටි	h iː n æ ʈ i
මුවපැටිකේවෙල	m u w a p æ ʈ i k eː w e l ə
දේශපාලඥයෝ	d eː ʃ ə p aː l a ɲ ə y oː
පඤ්චවිධ	p a ɲ c ə w i d ə
බීජයන්	b iː ɟ ə y a n
භෝජනයෙන්	b oː ɟ ə n ə y e n
රාත්‍රිභෝජනෙන්	r aː t r i b oː ɟ ə n e n
විකාල	w i k aː l ə
සිඳීමෙන්	s i ⁿd iː m e n
ප්‍රධානියාය	p r a d aː n i y aː y ə
උපාසකයා	u p aː s ə k ə y aː
එයසා	e y ə s aː
ත්රිවිධ	t r i w i d ə
සදිස	s a d i s ə
සෙයමානය	s e y ə m aː n ə y ə
කලබැගෑනියක්	k a l ə b æ g æː n i y a k
දුඃඛානුදර්ශනයෙන්	d u h k aː n u d a r ʃ ə n ə y e n
කම්හලක	k a m h a l ə k ə
ඇස්බැස්ටෝස්	æ s b æ s ʈ oː s
වහළට	w a h a l ə ʈ ə
යායවල්	y aː y ə w a l
බොධ්‍යඞ්ගයන්	b o d y a ŋ g ə y a n
මනෝවිඤ්ඤාණධාතු	m a n oː w i ɲ ɲ aː n ə d aː t u
දුරෙයප්පාගෙන්	d u r e y a p p aː g e n
දූෂකයන්	d uː ʃ ə k ə y a n
පැමිණිල්ලෙන්	p æ m i n i l l e n
අෂ්රෆ්	a ʃ r ə f
ෆෙරියල්	f e r i y ə l
කලල්ඇල්ලේ	k a l a l æ l l eː
සමහරකි	s a m ə h a r ə k i
සිරිසීවලි	s i r i s iː w ə l i
හීනටිගල	h iː n ə ʈ i g ə l ə
අනුපූරණය	a n u p uː r ə n ə y ə
නොන	n o n ə
පංචවේග	p a ŋ c ə w eː g ə
පාලකය	p aː l ə k ə y ə
සිව්වේග	s i w w eː g ə
සුක්කානම	s u k k aː n ə m ə
ඡන්දදායකයින්	c a n d ə d aː y ə k ə y i n
විසිදහස්	w i s i d a h a s
හයලක්ෂ	h a y ə l a k ʃ ə
අගමැතිගෙන්	a g ə m æ t i g e n
පවිට	p a w i ʈ ə
සම්‍යක්සම්බුද්ධ	s a m y a k s a m b u d d ə
සම්‍යක්සම්බුද්ධයෙමි	s a m y a k s a m b u d d ə y e m i
ගර්භයම	g a r b ə y ə m ə
නොසන්සුන්ව	n o s a n s u n w ə
සබයෙන්	s a b ə y e n
මන්ත්‍රීවරයාගේ	m a n t r iː w ə r ə y aː g eː
අතික්‍රාන්ත	a t i k r aː n t ə
වජ්රෝපම	w a ɟ r oː p ə m ə
අන්තවලදී	a n t ə w ə l ə d iː
ආරවුලට	aː r a w u l ə ʈ ə
නොපැමිණ	n o p æ m i n ə
පාර්ශ්වකරුවන්ට	p aː r ʃ w ə k a r u w a n ʈ ə
ග්ලාස්ගෝ	g l aː s g oː
ටීසයිඩ්	ʈ iː s a y i ɖ
බ්‍රැඩ්ෆර්ඩ්	b r æ ɖ f a r ɖ
බෙල්ෆාස්ට්	b e l f aː s ʈ
මඟීන්ට	m a ᵑg iː n ʈ ə
රූපාරූපාවචර	r uː p aː r uː p aː w ə c ə r ə
නයිජල්	n a y i ɟ ə l
ඩයට්මාර්	ɖ a y ə ʈ m aː r
ක්‍රියාවලියක	k r i y aː w ə l i y ə k ə
වලවත්	w a l ə w a t
සපුගස්කන්ද	s a p u g a s k a n d ə
රාහුබද්ධ	r aː h u b a d d ə
මැරේ	m æ r eː
මැරේවායි	m æ r eː w aː y i
වළෙහි	w a l e h i
වදාළෝ	w a d aː l o:
පියන	p i y ə n ə
සයෙකි	s a y e k i
චික්ස්	c i k s
චීක්ස්	c iː k s
පෙපර්මින්ට්ද	p e p ə r m i n ʈ d ə
ලොලිපොප්ස්	l o l i p o p s
පෙම්වත්හු	p e m w a t h u
සේවාවන්හි	s eː w aː w a n h i
අදින්නපුබ්බක	a d i n n ə p u b b ə k ə
ඉන්ද්‍රජිත්	i n d r ə ɟ i t
උඩුවගේ	u ɖ u w ə g eː
කාන්තිය	k aː n t i y ə
නියෝජිතයාගෙන්	n i y oː ɟ i t ə y aː g e n
හාම්පුතාට	h aː m p u t aː ʈ ə
ගුවන්තොටුපළේ	g u w a n t o ʈ u p ə l eː
ගොවිපළකට	g o w i p ə l ə k ə ʈ ə
පනස්දහස්	p a n a s d a h a s
හැත්තෑලක්ෂ	h æ tː æː l a k ʃ ə
ඡන්දෙටත්	c a n d e ʈ a t
ඉනියවන්	i n i y a w ə n
කියාගන්නට	k i y aː g a n n ə ʈ ə
තාන්ත්‍රික	t aː n t r i k ə
දරුස්මාන්	d a r u s m aː n
දෙඩූ	d e ɖ uː
මැදිහත්වීම්වල	m æ d i h a t w iː m w ə l ə
විස්සකින්	w i s s ə k i n
වැටක්ද	w æ ʈ a k d ə
ඩ්‍රැයිවර්	ɖ r æ y i w ə r
ප්‍රදේශවලදීම	p r ə d eː ʃ ə w ə l ə d iː m ə
ප්‍රශ්නයම	p r a ʃ n ə y ə m ə
ප්‍රශ්නවලට	p r a ʃ n ə w ə l ə ʈ ə
කාන්තාවයි	k aː n t aː w a y i
දිසාපතිවරුන්	d i s aː p ə t i w ə r u n
නිෂ්පාදනයන්ට	n i ʃ p aː d ə n ə y a n ʈ ə
පනස්තුනක්	p a n a s t u n a k
පොලියක	p o l i y ə k ə
හීනවන	h iː n a w ə n ə
අප්‍රතිඝ	a p r ə t i g ə
ඉන්‍ද්‍රිය	i n d r i y ə
චක්ඛුන්‍ද්‍රිය	c a k k u n d r i y ə
ලක්‍ෂ	l a k ʃ ə
විනාශවෙමින්	w i n aː ʃ ə w e m i n
දඹුලුඔය	d a ᵐb u l u o y ə
සුවවන	s u w ə w ə n ə
තෘෂ්ණායෙන්	t r i ʃ n aː y e n
විපුලත්වයට	w i p u l a t w ə y ə ʈ ə
ප්‍රචණ්ඩ	p r ə c a n ɖ ə
ලක්ෂණයන්	l a k ʃ ə n ə y a n
වියග	w i y ə g ə
හමාගිය	h a m aː g i y ə
ආකාසානඤ්චායතනය	aː k aː s aː n a ɲ c aː y ə t ə n ə y ə
ආකාසානඤ්චායතනයට	aː k aː s aː n a ɲ c aː y ə t ə n ə y ə ʈ ə
ඉස්කොලෂිප්	i s k o l ə ʃ i p
එග්සැමිනේෂන්	e g s æ m i n eː ʃ ə n
විනිවිධ	w i n i w i d ə
ඡන්දයේ	c a n d ə y eː
සත්ත්‍වයෝ	s a t t w ə y oː
ආයුධවලින්	aː y u d ə w ə l i n
ගෝපුර	g oː p u r ə
ජනාවාසක	ɟ a n aː w aː s ə k ə
ප්‍රාකාර	p r aː k aː r ə
මිසයිල්	m i s a y i l
නෑහෙන	n æː h e n ə
ගල්ඇටුඹගේ	g a l æ ʈ u ᵐb ə g eː
ඡයා	c a y aː
නාකුළුගමුව	n aː k u l u g ə m u w ə
අග්නිදිගින්	a g n i d i g i n
පෙලෝපොනීසස්	p e l oː p o n iː s ə s
ක්‍රියාවකට	k r i y aː w ə k ə ʈ ə
ධාතුමය	d aː t u m ə y ə
පයක්	p a y a k
මහනුවරදි	m a h a n u w ə r ə d i
ගෙයකට	g e y ə k ə ʈ ə
අන්යයන්ගෙන්	a n y a y a n g e n
දොම්නසට	d o m n a s ə ʈ ə
මාර්ගසත්යය	m aː r g ə s a t y ə y ə
පුරුෂාකාරය	p u r u ʃ aː k aː r ə y ə
වලව්වෙ	w a l a w w e
හොරගොල්ලෙ	h o r ə g o l l e
නොගෙවීමට	n o g e w iː m ə ʈ ə
ආයතනයක්ම	aː y a t ə n ə y a k m ə
ගොඩනගලා	g o ɖ ə n a g ə l aː
අධ්‍යක්ෂවරයාට	a d y a k ʃ ə w ə r ə y aː ʈ ə
කාව්‍යයට	k aː w y ə y ə ʈ ə
රාජකාරිවලට	r aː ɟ ə k aː r i w ə l ə ʈ ə
සාහිත්‍යමය	s aː h i t y ə m ə y ə
උපදවුනට	u p a d a w u n ə ʈ ə
ක්‍රමයකට	k r a m ə y ə k ə ʈ ə
චක්ඛුන්ද්රිය	c a k k u n d r i y ə
ඍෂිවරයෙකුගෙන්	r i ʃ i w ə r ə y e k u g e n
ඥානවන්තයෝ	ɲ aː n ə w a n t ə y oː
ඥානවන්තයෝද	ɲ aː n ə w a n t ə y oː d ə
ධනවන්තයෝදැ	d a n ə w a n t ə y oː d æ
ඇඹරුණේ	æ ᵐb ə r u n eː
බේරෙයි	b eː r e y i
තුම්මුණිං	t u mː u n i ŋ
ඩිලාන්ගෙන්	ɖ i l aː n g e n
සියවන	s i y ə w ə n ə
තනිවයි	t a n i w a y i
කැමැතියන්	k æ m æ t i y ə n
අවන්හලක්	a w a n h a l a k
ගල්වල	g a l w a l ə
නවත්වනු	n a w a t w ə n u
ත්‍රෛනිකායික	t r a i n i k aː y i k ə
නාහිමිවරු	n aː h i m i w ə r u
ලන්දේසීහු	l a n d eː s iː h u
නිෂ්පාදකයින්	n i ʃ p aː d ə k ə y i n
පෙදෙසක්	p e d e s a k
මැඳුරු	m æ ⁿd u r u
වුල්වන්දාල්	w u l w a n d aː l
සෙබස්තියන්	s e b ə s t i y ə n
හල්ට්ස්ඩෝප්	h a l ʈ s ɖ oː p
අදින්නාදාන	a d i n n aː d aː n ə
පාරාජිකාව	p aː r aː ɟ i k aː w ə
පාරාජිකාවට	p aː r aː ɟ i k aː w ə ʈ ə
මෛථුන	m a i t u n ə
තියාගත්ත	t i y aː g a t t ə
ඇන්ගෝලාව	æ n g oː l aː w ə
උගන්ඩාව	u g a n ɖ aː w ə
කොංගෝ	k o ŋ g oː
ඩිජිබුති	ɖ i ɟ i b u t i
පාසෝ	p aː s oː
බුර්කිනා	b u r k i n aː
බෙනින්	b e n i n
බොට්ස්වානා	b o ʈ s w aː n aː
මුරුටානියා	m u r u ʈ aː n i y aː
මුරුසිය	m u r u s i y ə
සෙනිගාල්	s e n i g aː l
කෙයාර්	k e y aː r
ඩයිබිටිස්	ɖ a y i b i ʈ i s
රෙන්ගනාදන්	r e n g ə n aː d ə n
සර්විසස්	s a r w i s ə s
හෙල්ත්	h e l t
උපේක්ෂායෙන්	u p eː k ʃ aː y e n
කෙරෙත්	k e r e t
තෙමේත්	t e m eː t
පසුම්බියෙන්	p a s u m b i y e n
මිත්ත	m i t t ə
මුහුදෙහි	m u h u d e h i
නාට්‍යයෙන්	n aː ʈ y ə y e n
ප්‍රේක්ෂකයන්	p r eː k ʃ ə k ə y a n
ජීපාං	ɟ iː p aː ŋ
යොනාන්	y o n aː n
ජියාං	ɟ i y aː ŋ
ඔන	o n ə
මුහුඳෙන්	m u h u ⁿd e n
වේදනානුපස්සනා	w eː d ə n aː n u p a s s ə n aː
අන්ධකාරයට	a n d ə k aː r ə y ə ʈ ə
මැඩලන්නා	m æ ɖ ə l a n n aː
ලෝභයට	l oː b ə y ə ʈ ə
දිවමන්	d i w ə m a n
ලොකුපෝතාගම	l o k u p oː t aː g ə m ə
රස්සාවත්	r a s s aː w a t
අටලූ	a ʈ ə l uː
නිසායැ	n i s aː y æ
හැඳින්වෙන්නට	h æ ⁿd i n w e n n ə ʈ ə
හූඩ්	h uː ɖ
උපාධ්‍යාන්යන්	u p aː d y aː n y a n
සංචරණ	s a ŋ c ə r ə n ə
ඇලොයිස්	æ l o y i s
ප්‍රියදර්ශන	p r i y ə d a r ʃ ə n ə
පීත්ත	p iː t t ə
වතික්	w a t i k
විඡේසිංහ	w i c eː s i ŋ h ə
ෂ්නෙයිඩර්	ʃ n e y i ɖ ə r
ස්විස්ටර්ලන්ත	s w i s ʈ ə r l a n t ə
හීලියෝ	h iː l i y oː
හොස්බාර්	h o s b aː r
ෆාන්ස්	f aː n s
ප්‍රත්යංග	p r a t y a ŋ g ə
මණ්ඩලයේද	m a n ɖ ə l ə y eː d ə
සෞභාග්‍යවත්	s a u b aː g y ə w a t
වෙසෙන්නාහ	w e s e n n aː h ə
සේනාසනවල	s eː n aː s ə n ə w ə l ə
කැරැණු	k æ r æ n u
සම්මතියෙන්	s a m m ə t i y e n
ඒකදීපිය	eː k a d iː p i y ə
චිතකයට	c i t ə k ə y ə ʈ ə
