අං	a ŋ
අති	a t i
අතිකාල	a t i k aː l ə
අතිගරු	a t i g a r u
අතිජාත	a t i ɟ aː t ə
අතිනත	a t i n a t ə
අතින්	a t i n
අතින්ද	a t i n d ə
අතින්ම	a t i n m ə
අතිනි	a t i n i
අතිනුත්	a t i n u t
අතිපුජනීය	a t i p u ɟ ə n iː y ə
අතිමහත්	a t i m a h a t
අතිමහත්ය	a t i m a h a t y ə
අතිරික්ත	a t i r i k t ə
අතිරික්තයක්	a t i r i k t ə y a k
අතිරේක	a t i r eː k ə
අතිවිශාල	a t i w i ʃ aː l ə
අතිවිශිෂ්ඨයි	a t i w i ʃ i ʃ ʈ a y
අතිවිෂිශ්ට	a t i w i ʃ i ʃ ʈ ə
අතිශය	a t i ʃ ə y ə
අතිශයින්	a t i ʃ ə i n
අතිශයින්ම	a t i ʃ ə i n m ə
අතිශයෝක්තියක්	a t i ʃ ə y oː k t i y a k
අතිශයෝක්තියට	a t i ʃ ə y oː k t i y ə ʈ ə
අතිසාර්ථක	a t i s aː r t ə k ə
අතීත	a t iː t ə
අතීතය	a t iː t ə y ə
අතීතයක	a t iː t ə y ə k ə
අතීතයකට	a t iː t ə y ə k ə ʈ ə
අතීතයක්	a t iː t ə y a k
අතීතයට	a t iː t ə y ə ʈ ə
අතීතයත්	a t iː t ə y a t
අතීතයෙන්	a t iː t ə y e n
අතීතයෙහි	a t iː t ə y e h i
අතීතයේ	a t iː t ə y e
අතීතයේදී	a t iː t ə y eː d i
අතු	a t u
අතුකෝරල	a t u k oː r ə l ə
අතුකෝරාල	a t u k oː r aː l ə
අතුගා	a t u g aː
අතුගානව	a t u g aː n ə w a
අතුගානවා	a t u g aː n ə w a
අතුගාල	a t u g aː l a
අතුගෑවිලා	a t u g æː w i l a
අතුගෑවී	a t u g æː w iː
අතුරලියේ	a t u r ə l i y eː
අතුරා	a t u r aː
අතුරාගෙන	a t u r aː g e n ə
අතුරින්	a t u r i n
අතුරු	a t u r u
අතුරුගිරිය	a t u r u g i r i y ə
අතුරුදන්	a t u r u d a n
අතුරුදන්ව	a t u r u d a n w ə
අතුරුදහන්	a t u r u d a h a n
අතුරුදහන්ව	a t u r u d a h a n w ə
අතුරුදහන්වීම්	a t u r u d a h a n w iː m
අතුරුඵල	a t u r u p a l ə
අතුරෙන්	a t u r e n
අතුරෙහි	a t u r e h i
අතුල	a t u l ə
අතුවල	a t u w ə l ə
අතෘප්තිකර	a t r u p t i k ə r ə
අතෘප්තිය	a t r u p t i y ə
අතෙකින්	a t e k i n
අතෙහි	a t e h i
අතේ	a t eː
අද	a d ə
අදට	a d ə ʈ ə
අදටත්	a d ə ʈ a t
අදටද	a d ə ʈ ə d ə
අදත්	a d a t
අදද	a d ə d ə
අදනම්	a d ə n a m
